name,id,Stv_29,Stv_30,Stv_31,Stv_32,Stv_33,Stv_35,Stv_36,Stv_37,Stv_39,Stv_40,Stv_42,Stv_44,Stv_45,Stv_46,Stv_48,Stv_50,Stv_53,Stv_54
Pacsin1,ENSMUST00000232437.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Galnt18,ENSMUST00000049430.15,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Mrc1,ENSMUST00000028045.4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
Slc8a1,ENSMUST00000163123.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Pld4,ENSMUST00000063888.5,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Cd3g,ENSMUST00000002101.12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Fasl,ENSMUST00000000834.4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Itgax,ENSMUST00000033053.8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Vegfa,ENSMUST00000071648.12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Kif2c,ENSMUST00000106436.8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Grm6,ENSMUST00000171427.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
C1qb,ENSMUST00000046384.9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
C1qc,ENSMUST00000046332.6,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
C1qa,ENSMUST00000046285.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Batf3,ENSMUST00000027943.6,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Cpa3,ENSMUST00000001921.3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Cxcl14,ENSMUST00000021970.11,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Ncr1,ENSMUST00000126417.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Enpp1,ENSMUST00000105520.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Nek2,ENSMUST00000027931.8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Ptpro,ENSMUST00000077115.13,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ms4a1,ENSMUST00000169159.3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Ms4a7,ENSMUST00000025574.11,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
Tcf7,ENSMUST00000086844.10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Slc2a1,ENSMUST00000030398.10,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
Tmprss11e,ENSMUST00000161306.2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
Cldn5,ENSMUST00000043577.3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Ung,ENSMUST00000102584.11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Zbtb7b,ENSMUST00000029677.9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Slc7a2,ENSMUST00000057784.15,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
Cd28,ENSMUST00000027165.3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
Gzmb,ENSMUST00000015581.6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Tppp3,ENSMUST00000177126.8,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Fgfbp1,ENSMUST00000199894.2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Cr2,ENSMUST00000082321.9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Col6a6,ENSMUST00000098441.10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Rassf4,ENSMUST00000035842.7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Cd247,ENSMUST00000187313.7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Fcer2a,ENSMUST00000005678.6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cd79a,ENSMUST00000003469.8,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Cxcl3,ENSMUST00000031326.10,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ccr4,ENSMUST00000054414.5,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Fgfr2,ENSMUST00000120187.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Eomes,ENSMUST00000111763.8,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Car4,ENSMUST00000103194.10,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Pdcd1,ENSMUST00000027507.9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Hoxa10,ENSMUST00000125581.2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sox17,ENSMUST00000192650.6,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Asprv1,ENSMUST00000043400.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Xcr1,ENSMUST00000182350.3,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Ccr2,ENSMUST00000168841.3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Ccr9,ENSMUST00000166236.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Mreg,ENSMUST00000048860.9,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Arg1,ENSMUST00000020161.10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Klrb1c,ENSMUST00000167691.9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Mmp12,ENSMUST00000005950.12,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Cxcr2,ENSMUST00000106899.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pax5,ENSMUST00000014174.14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Cd22,ENSMUST00000186154.7,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Ncapd2,ENSMUST00000043848.11,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Fcer1a,ENSMUST00000049706.11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Chst3,ENSMUST00000167915.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cldn4,ENSMUST00000051401.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Sox9,ENSMUST00000000579.3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
Csrp3,ENSMUST00000167786.4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ccl24,ENSMUST00000004936.10,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
Fxyd3,ENSMUST00000167369.8,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Pdgfa,ENSMUST00000076095.14,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Siglech,ENSMUST00000171077.8,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Fcmr,ENSMUST00000038829.7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fscn1,ENSMUST00000031565.15,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chil1,ENSMUST00000153856.8,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Inava,ENSMUST00000120339.8,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Alox15,ENSMUST00000019068.7,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Fermt1,ENSMUST00000038280.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Plcb1,ENSMUST00000131552.5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Cd300e,ENSMUST00000062787.9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Fzd2,ENSMUST00000057893.7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Rad51,ENSMUST00000028795.10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Snai1,ENSMUST00000052631.8,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Blank-1,nan,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Blank-2,nan,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Blank-3,nan,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Blank-4,nan,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Blank-5,nan,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Blank-6,nan,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Blank-7,nan,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Blank-8,nan,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Blank-9,nan,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Blank-10,nan,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Blank-11,nan,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Blank-12,nan,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Blank-13,nan,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Blank-14,nan,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Blank-15,nan,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Blank-16,nan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
